"EntrezID","GeneID","GeneName","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25"
10000,"AKT3","v-akt murine thymoma viral oncogene homolog 3",7.21412298,7.051052908,6.3394996,7.067275276,7.234408557,7.530749265,8.294508288,7.270910111,7.567289847,7.804410675,5.690301468,5.25063768,4.944277778,5.489983978,6.482583466,5.946036294,6.525576561,6.786622856,4.727420946,6.144491074,4.279525183,4.910635762,6.136675965,5.906023986,4.969072623,3.577767778,4.199099848,4.098718481,5.867587525,5.648984729,6.066480056,5.577480897,5.52258706,5.331449439,5.663811464
316,"AOX1","aldehyde oxidase 1",3.873486344,4.535012018,3.184851485,3.150374718,4.896956468,2.975068488,2.042592301,2.019033867,2.98703722,3.442957975,5.223239459,3.774538718,3.896655152,3.856382057,4.316040341,5.252386988,5.602484008,4.046271683,2.266052637,5.133486974,1.365081481,3.872219436,4.998567336,3.054719071,3.78357337,0.849935698,1e-04,2.522779306,2.624576793,3.967367782,4.595310564,2.371155946,3.845759701,3.025879957,2.292834352
596,"BCL2","B-cell CLL/lymphoma 2",4.683575996,4.563473226,3.877990967,4.355579987,5.371850979,4.991013719,5.898226796,6.330190046,4.956254469,4.872510394,5.02468197,5.522504625,4.584654956,4.829079379,6.191103902,5.648170508,4.927246723,5.260795637,6.835743367,5.765073539,8.987466665,5.900575646,5.325809334,4.867449155,6.728901993,7.563268572,8.295351921,2.956113721,6.361144533,8.096009434,5.174627722,6.588712404,6.920763939,5.935975478,5.233422341
598,"BCL2L1","BCL2-like 1",6.637512756,6.530222077,6.538693768,6.722100667,6.615448359,7.062425204,7.329426337,6.400240873,6.583548282,6.262975204,5.668571228,5.528000525,6.221945233,4.971758847,6.049672973,6.084995674,5.941860508,5.619168191,5.715781778,5.857274848,6.716010694,5.996160911,5.250691662,6.227103091,6.231351708,6.824712056,6.006153224,6.859266718,5.481656668,5.428617626,5.803547015,5.450524621,5.774762094,5.895712076,5.743715096
595,"CCND1","cyclin D1",6.917394447,6.788758978,5.130453053,7.962589811,6.139319569,6.484088193,5.927552527,6.550579716,6.683359964,6.66269953,7.102293267,6.75233748,7.852210918,6.92259665,7.357515656,8.098159495,7.585434809,7.746182641,9.605045167,8.659767266,10.03360581,7.584132373,7.29918681,8.240788192,7.661320028,9.434512242,6.792928621,7.583572971,8.444562102,7.883580823,7.597469532,8.758238063,9.049717542,8.104416229,7.557844468
1026,"CDKN1A","cyclin-dependent kinase inhibitor 1A (p21, Cip1)",7.971362481,7.561310877,8.084142273,7.622687667,7.626585318,8.069280037,8.080561058,7.339718215,6.68902162,7.336173658,4.89760605,5.365601243,4.460508111,4.840569904,7.149860994,5.759167769,5.59827329,4.570169261,3.838085842,5.29094786,5.809358858,5.154838005,5.341984008,5.7938933,4.850563518,4.04746627,4.578517793,3.749903315,3.934034485,3.420679057,3.664756989,3.866390948,5.371792449,4.095611813,4.694986465
1154,"CISH","cytokine inducible SH2-containing protein",3.28532676,2.721809651,2.315266285,2.4320706,3.341879534,2.720093201,4.577039493,2.917600079,3.443412559,2.505150812,2.779100635,3.203419969,3.899845666,4.155233378,3.174081012,2.976043898,3.142784451,3.114166394,4.355325667,4.559732352,5.074283473,3.432826335,2.532597219,3.247352455,4.164396946,5.415561382,6.433926037,3.661637161,3.581267778,4.005424199,3.424235774,4.022767655,2.819855158,3.905934435,3.554564204
1270,"CNTF","ciliary neurotrophic factor",2.11474532,1.450942931,1.296032415,2.028653138,0.643928067,1.246401195,0.783607258,1.573059783,1.76649654,2.019553467,0.816365993,1e-04,0.458867427,1e-04,0.490721387,1e-04,1e-04,0.550341975,1e-04,1e-04,1e-04,1e-04,0.05390663,1e-04,1e-04,1e-04,1e-04,0.176180637,2.19045724,0.59458317,1.49312803,1.24206534,1e-04,1e-04,0.07149512
1387,"CREBBP","CREB binding protein",8.465600287,8.161364169,8.499404138,8.00446554,8.268877652,8.446610782,8.249012669,7.728349831,7.444807097,7.679090334,7.171737516,6.670221117,7.562483896,7.103575088,7.430072597,7.028536681,7.01377265,7.289085397,7.588483754,6.992442692,7.39467526,7.301775997,7.271586235,7.116270187,6.983904181,7.399672782,7.664660804,7.509373783,7.392513504,8.173685683,7.864257863,7.189452271,7.035016357,7.199654975,7.264727469
1950,"EGF","epidermal growth factor",3.65672711,3.375199054,5.419489823,3.981923027,2.881606282,2.272683151,4.226084803,3.864077071,4.600210032,3.255964253,2.302883999,2.074274797,4.486206852,5.530749758,3.50843349,5.161815171,3.254030373,4.331871842,5.936125407,6.478771633,5.042160411,4.131541857,2.439454946,4.845556956,4.083736688,2.293409754,3.25079365,4.945352857,4.195676614,4.615068682,4.591430917,4.394789172,4.819490084,4.836695037,3.100931729
2273,"FHL1","four and a half LIM domains 1",4.34195016,4.081226677,2.269808569,2.98997753,3.469537943,4.549169544,5.216744028,4.80312744,3.755457367,4.643677505,5.58854425,5.31245251,3.804329724,4.801906807,7.831341263,7.249873693,7.459359891,6.025742792,4.310489599,6.857212675,2.785804011,5.020913488,6.353234234,3.227175726,6.092582115,4.281887398,1.500979922,4.04511908,3.104078775,3.778087926,3.963815,2.742328182,5.230092256,4.082219536,3.147757526
2670,"GFAP","glial fibrillary acidic protein",2.131672477,0.78751054,1e-04,1e-04,1.924513108,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.200606128,1.660256934,1e-04,1e-04,0.386456653,1e-04,0.230830224,1e-04,1e-04,1e-04,1e-04,1.050316263,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.836801361,0.147194072
2885,"GRB2","growth factor receptor-bound protein 2",5.958728377,5.998062492,6.305175025,6.287212823,5.804299453,6.219922696,6.501695872,6.343244344,6.108344063,6.370094233,6.178613804,5.57654361,7.106666896,5.37352698,6.748702547,6.076756569,6.114690507,6.043049281,6.400038536,6.362119308,7.44178753,6.889850698,6.164227443,7.125383858,6.028661695,7.677923339,5.323858031,6.062724645,5.905321256,5.901943089,5.577058031,5.526131155,7.957435425,6.128515081,6.426601325
3265,"HRAS","Harvey rat sarcoma viral oncogene homolog",4.34195016,4.272033377,4.506522688,4.227348627,4.416263502,4.625602188,3.440400027,3.077447111,3.223865841,3.550458377,4.157263993,6.456296797,4.826826902,6.171243782,3.528525864,3.92724747,3.449016323,3.081037637,4.506705112,3.212513324,3.656836771,3.253340233,2.712564112,3.716443904,4.289552571,3.07090201,5.494426434,5.484321137,3.470556584,3.486739052,2.645148547,3.71619317,3.904989289,4.122029087,4.669539356
116379,"IL22RA2","interleukin 22 receptor, alpha 2",1e-04,1e-04,1e-04,0.490465822,1e-04,1e-04,1e-04,1e-04,1e-04,0.070314598,1.647671326,1e-04,0.712162045,0.931182086,1e-04,1.555542426,1.098732101,2.664323927,1e-04,3.330925485,1e-04,1e-04,0.05390663,0.078082156,1.050316263,1e-04,1e-04,1.332540645,0.660358131,1e-04,1.157516701,1.24206534,1e-04,0.051395321,1e-04
11009,"IL24","interleukin 24",4.876676359,4.679126482,2.222871801,4.285053461,5.783390132,5.427798488,4.978337291,4.712839566,5.24005113,5.689802034,2.315368157,2.41999552,3.523260319,4.179566034,2.096908113,1.405726668,1.213293838,1.506096064,0.747073811,1.327086134,1e-04,1.903436006,4.337080047,1.399568359,3.249986311,1.639343381,0.172558382,1.163977897,1.943405488,0.746123804,2.365134788,1.24206534,2.549866194,1.026252947,3.072088923
10379,"IRF9","interferon regulatory factor 9",5.033508391,5.576091333,4.38031441,4.728036254,5.153856371,4.710342339,5.87206849,5.137217954,5.470533332,5.220557093,5.374072307,5.837805211,5.497115218,6.155995864,6.595224724,5.59435512,5.451939973,4.823521385,5.480733567,4.686726214,5.65922909,6.725104096,6.825386644,5.45095358,6.759950314,6.081832491,5.505023534,4.728246641,6.831922097,4.610137363,5.717169804,5.480263505,6.252209949,5.478410109,6.166139948
3716,"JAK1","Janus kinase 1",9.295217389,9.003414068,8.761832599,9.139852878,9.447299787,9.498781705,9.849741871,9.415195645,9.050877661,9.379196519,7.552024287,6.741733785,8.093545757,7.267910879,8.471330873,8.395723023,8.139262596,7.762991183,7.57505931,8.195421336,8.238337756,7.710381938,8.135778887,8.039280509,7.402204946,7.168708924,6.280468696,7.378549309,7.956350066,8.558637195,7.84930904,7.631767838,8.696492417,6.981363429,7.404326598
4170,"MCL1","myeloid cell leukemia sequence 1 (BCL2-related)",9.533374283,10.34409852,8.941685988,9.766768897,10.86639457,10.43452536,10.81947708,9.863374583,9.883935979,9.689478546,9.430757867,8.032577661,9.135369469,8.310480289,9.944986486,9.469478069,10.06065001,10.16015891,8.748819571,9.622892941,8.392610942,9.14714954,9.688537439,9.456002818,9.568211542,8.943354057,9.53555309,8.494377503,8.879958581,8.651865421,8.904221871,8.747323244,9.262924019,8.871626287,8.698835783
2475,"MTOR","mechanistic target of rapamycin (serine/threonine kinase)",7.144422137,6.939495485,7.188527327,7.097115071,7.06089375,7.258502597,6.008688017,6.478302273,6.292174699,6.734474757,6.431066172,6.340820595,6.963445825,6.757637613,6.154400593,6.400164848,6.518908978,6.302890391,6.546282197,5.943935953,6.533003152,6.565684198,6.699225795,6.243100342,6.461060969,6.559487717,6.391007073,7.117653083,6.785703005,6.715862242,6.916114064,7.000570855,6.163170784,6.17656736,6.617517113
4609,"MYC","v-myc avian myelocytomatosis viral oncogene homolog",9.414565406,8.964895596,8.13070901,8.64901107,9.368958647,9.290625374,9.527249839,8.124521612,8.961896961,7.999285371,7.581071311,5.289985592,5.921946026,5.785814744,7.686012374,6.537080651,7.166625226,7.857727521,4.39551139,7.825946497,7.018036165,6.066425464,6.703613831,5.94566634,7.397485009,7.129794192,6.559969275,6.055212736,6.199150263,5.852689614,6.306657458,6.783181425,6.436987489,5.902077779,6.632411181
10401,"PIAS3","protein inhibitor of activated STAT, 3",4.921167036,5.791554263,5.192672933,5.13433038,5.722446375,5.770766772,5.67145247,5.728322225,5.326861455,5.634156878,5.078773322,6.168553326,6.205923546,6.85904644,4.654509272,5.315019178,5.686201219,5.244430788,6.191412638,4.85843729,5.024860022,5.687243448,5.697942137,5.370452797,5.943608333,6.813062044,6.527852812,5.113913923,4.734066868,5.287484406,5.00417191,5.970472122,5.56779733,6.615901242,5.465531545
